datetime,open,high,low,close,volume
2025-05-22,202.02,202.75,199.7,201.5,40512890.0
2025-05-23,201.74,202.0,193.13,195.85,70922571.0
2025-05-24,,,,,0.0
2025-05-25,,,,,0.0
2025-05-26,,,,,0.0
2025-05-27,198.02,200.74,197.3,200.4,46921509.0
2025-05-28,200.4,207.66,199.9,207.41,34985661.0
2025-05-29,207.3,207.9,198.51,199.0,44460942.0
2025-05-30,199.93,201.96,196.78,200.29,44779564.0
2025-05-31,,,,,0.0
2025-06-01,,,,,0.0
2025-06-02,198.52,202.48,198.52,201.68,29334993.0
2025-06-03,201.29,203.77,200.75,202.96,35785343.0
2025-06-04,203.07,206.24,200.55,201.8601,38065513.0
2025-06-05,202.99,204.75,200.15,200.8,40927131.0
2025-06-06,201.5,205.7,201.2,204.47,38809488.0
2025-06-07,,,,,0.0
2025-06-08,,,,,0.0
2025-06-09,205.0,206.0,200.02,201.75,63450542.0
2025-06-10,202.14,204.35,200.24,202.9,43958718.0
2025-06-11,202.62,204.5,198.41,198.76,53736844.0
2025-06-12,199.2,199.68,197.3601,198.5795,34989364.0
2025-06-13,196.11,200.37,195.7,196.3998,43902306.0
2025-06-14,,,,,0.0
2025-06-15,,,,,0.0
2025-06-16,197.02,198.685,196.45,197.08,34970968.0
2025-06-17,197.51,198.39,195.112,195.15,32152410.0
2025-06-18,196.15,197.57,195.07,196.06,35627345.0
2025-06-19,,,,,0.0
2025-06-20,196.0,201.7885,195.7,201.2901,68165932.0
2025-06-21,,,,,0.0
2025-06-22,,,,,0.0
2025-06-23,200.3,202.5968,198.96,202.38,43771569.0
2025-06-24,202.62,204.97,200.2,200.7901,46510508.0
